,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,san jose,37.3394,-121.895,89.91,48,20,6.91,US,1665438710
354,caldas novas,-17.7417,-48.625,76.37,48,85,5.64,BR,1665438991
355,novopskov,49.5464,39.0899,51.08,92,100,4.07,UA,1665438991
356,ambon,-3.6954,128.1814,75.34,100,20,6.91,ID,1665438992
357,zlitan,32.4674,14.5687,77.16,62,100,10.16,LY,1665438992
358,najran,17.4924,44.1277,74.05,29,0,0.92,SA,1665438746
359,hokitika,-42.7167,170.9667,53.24,81,95,2.08,NZ,1665438993
360,lazurne,46.084,32.5295,54.48,63,2,11.25,UA,1665438993
361,hereford,52.0568,-2.7148,49.01,86,68,3.15,GB,1665438993
362,kidal,18.4411,1.4078,86.85,15,9,12.19,ML,1665438994
363,tera,14.0078,0.7531,92.79,27,23,7.16,NE,1665438995
364,bucerias,20.75,-105.3333,90.99,61,8,4.52,MX,1665438751
365,broome,42.2506,-75.833,57.09,71,69,4.18,US,1665438995
366,svetlaya,46.5389,138.3297,49.87,83,11,12.06,RU,1665438995
367,portree,57.4129,-6.1942,48.52,89,72,11.05,GB,1665438996
368,kedrovyy,56.1667,91.8167,41.41,83,100,12.39,RU,1665438996
369,nanakuli,21.3906,-158.1547,87.03,63,21,3.53,US,1665438996
